Feature,Interaction Features,Contribution Importance
학습 지향 평균,문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,0.045318555
학습 지향 평균,문A3-9) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__친목도모 증진,0.035105538
학습 지향 평균,문A3-2) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__심리적 만족 및 행복감 증대,0.021126052
학습 지향 평균,직업관련 목표지향 평균,-0.013280478
학습 지향 평균,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_1,0.0080542825
학습 지향 평균,문A3-8) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__사회참여,-0.00798629
학습 지향 평균,문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,0.007109224
학습 지향 평균,문D1) 귀하께서는 작년에 평생교육 프로그램 관련 정보를 접한 적이 있습니까?,-0.006360593
학습 지향 평균,DQ6. 귀하께서는 건강에 자신 있습니까?_1,-0.0046184575
학습 지향 평균,월 가구소득,-0.0046008113
학습 지향 평균,문A3-3) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__교양 함양이나 지식 습득 등 자기 계발,-0.0042116023
학습 지향 평균,지역규모별,-0.00403792
학습 지향 평균,문F1-4) 다음 학습 관련 질문에 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__직장에서 필요로 하는 기술을 학교에서는 배울 수 없다.,-0.0037011353
학습 지향 평균,DQ3. 몇 명과 함께 지내고 있습니까?__명,-0.0031540247
학습 지향 평균,문E1-2) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 인터넷강의 또는 컴퓨터(전자책^ 태블릿 PC^스마트폰)를 활용한 학습이 익숙하고 잘된다.,-0.0029815729
학습 지향 평균,문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,-0.0028979997
학습 지향 평균,DQ1. 귀하의 최종 학력은 어떻게 되십니까?__학교급,-0.0025739258
학습 지향 평균,문E1-3) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 혼자서 공부하는 것이 익숙하고 좋다.,0.0024859894
학습 지향 평균,사회참여,-0.00245851
학습 지향 평균,만 연령,-0.0024402728
학습 지향 평균,문C2) 귀하께서는 작년(교육이나 학습 프로그램의 참여여부와 관계없이)에 참여하고 싶었지만 참여하지 못했던 평생교육 프로그램이 있었습니까?,0.0022647113
학습 지향 평균,문E1-4) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 다른 사람들과 함께 공부 하는 것이 좋다.,0.0022109014
학습 지향 평균,문A1-2) 참여한 프로그램 수는 몇개입니까? (5) 문화예술스포츠교육,0.0021413162
학습 지향 평균,DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,-0.0016042702
학습 지향 평균,문A3-5) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__일하는데 필요한 기능 습득 등,0.0014467082
학습 지향 평균,DQ6. 귀하께서는 건강에 자신 있습니까?_2,0.001385276
학습 지향 평균,문A3-7) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__고용안정,-0.0013000945
학습 지향 평균,문A2-10) 프로그램만족도__(3)직업능력향상교육_1,0.001069134
학습 지향 평균,문A1-2) 참여한 프로그램 수는 몇개입니까? (6) 시민참여교육,-0.0010396749
학습 지향 평균,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_4.0,-0.0010081646
학습 지향 평균,무형식학습 (암묵적 학습) 참여,-0.000931852
학습 지향 평균,문E1-1) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 책이나 판서 수업 중심으로 공부하는 것이 익숙하고 잘된다.,0.0008870814
학습 지향 평균,취약계층,-0.00085191894
학습 지향 평균,무형식학습(온라인) 참여,0.00084023346
학습 지향 평균,문A2-2) 프로그램 형태__(3)직업능력향상교육_1,0.0007399277
학습 지향 평균,문A2-6) 연간참여시간__(3)직업능력향상교육_1,-0.0006861728
학습 지향 평균,DQ5. 귀하께서는 취학 전의 손자·손녀가 있습니까? (동거여부 무관),-0.0006217753
학습 지향 평균,문A2-1) 프로그램 유형__(3)직업능력향상교육_1,0.0005644607
학습 지향 평균,문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,-0.0005274832
학습 지향 평균,성별,-0.00051590725
학습 지향 평균,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_3.0,0.00046272017
학습 지향 평균,문A1-2) 참여한 프로그램 수는 몇개입니까? (2) 성인기초 및 문자해득교육(문해교육),0.00046037906
